FECHA,PRECIP,EVAP,TMAX,TMIN,HUMEDAD_RELATIVA
10/11/1924,  0,  Nulo, 19  ,9 ,
11/11/1924,  0,  Nulo  ,  20 , 8.5 ,
12/11/1924,  0,  Nulo  ,  20.5  , 3.5 ,
13/11/1924,  0,  Nulo  ,  20 , 3.2 ,
14/11/1924,  0,  Nulo  ,  18.5  , 4.3 ,
15/11/1924,  2.5 ,  Nulo, 18.7,7 ,
16/11/1924,  0,  Nulo, 17  ,4 ,
17/11/1924,  0,  Nulo  ,  18 , 4.5 ,
18/11/1924,  0,  Nulo, 15.5,4 ,
19/11/1924,  0,  Nulo  ,  17 , 3.5 ,
20/11/1924,  0,  Nulo, 17  ,4 ,
21/11/1924,  0,  Nulo  ,  16.5  , 4.5 ,
22/11/1924,  1.2 ,  Nulo  ,  17 , 3.5 ,
23/11/1924,  5,  Nulo  ,  17 , 3.3 ,
24/11/1924,  18.7,  Nulo, 15  ,4 ,
25/11/1924,  0,  Nulo, 16  ,3 ,
26/11/1924,  0,  Nulo  ,  16 , 3.5 ,
27/11/1924,  0,  Nulo, 19  ,4 ,
28/11/1924,  0,  Nulo, 18  ,4 ,
29/11/1924,  0,  Nulo  ,  18.5  , 4.5 ,
30/11/1924,  0,  Nulo, 17.5,4 ,
01/12/1924,  0,  Nulo, 20  ,4 ,
02/12/1924,  0,  Nulo, 20  ,5 ,
03/12/1924,  0,  Nulo  ,  20 , 4.5 ,
04/12/1924,  0,  Nulo  ,  21 , 3.5 ,
05/12/1924,  0,  Nulo, 21  ,3 ,
06/12/1924,  0,  Nulo, 22.5,3 ,
07/12/1924,  0,  Nulo, 21  ,3 ,
08/12/1924,  0,  Nulo  ,  21.5  , 2.5 ,
09/12/1924,  8.7 ,  Nulo, 21.5,7 ,
10/12/1924,  10  ,  Nulo ,18,  10 ,
11/12/1924,  15  ,  Nulo, 16.5,4 ,
12/12/1924,  1.2 ,  Nulo, 16  ,4 ,
13/12/1924,  0,  Nulo  ,  16 , 3.5 ,
14/12/1924,  0,  Nulo, 17  ,4 ,
15/12/1924,  0,  Nulo  ,  17 , 4.5 ,
16/12/1924,  0,  Nulo, 16.5,4 ,
17/12/1924,  13.7,  Nulo, 16.5,5 ,
18/12/1924,  0,  Nulo  ,  19 , 6.2 ,
19/12/1924,  17.5,  Nulo, 17.6,8 ,
20/12/1924,  2,  Nulo  ,  18 , 6.2 ,
21/12/1924,  0,  Nulo, 12  ,3 ,
22/12/1924,  0,  Nulo  ,  12.5  , 2.5 ,
23/12/1924,  13.2,  Nulo  ,  15 , 5.5 ,
24/12/1924,  2.2 ,  Nulo, 18.7,9 ,
25/12/1924,  0,  Nulo  ,  19.5  , 2.5 ,
26/12/1924,  0,  Nulo  ,  7  , 0.5 ,
27/12/1924,  0,  Nulo, 12  ,2 ,
28/12/1924,  0,  Nulo, 16  ,4 ,
